PROBLEM;BINARY;ITERATION;TIME;MEMORY
Frogger_;dlv2;0;0,05;968
Frogger_;dlv2;1;0,04;992
Frogger_;dlv2;2;0,04;992
Frogger_;dlv2;3;0,04;992
Frogger_;dlv2;4;0,04;996
Frogger_;dlv2;5;0,04;992
Frogger_;dlv2;6;0,04;996
Frogger_;dlv2;7;0,03;992
Frogger_;dlv2;8;0,04;996
Frogger_;dlv2;9;0,03;996
Frogger_;dlv2;10;0,04;992
Frogger_;dlv2;11;0,03;992
Frogger_;dlv2;12;0,04;996
Frogger_;dlv2;13;0,04;992
Frogger_;dlv2;14;0,04;992
Frogger_;dlv2;15;0,04;992
Frogger_;dlv2;16;0,04;992
Frogger_;dlv2;17;0,03;992
Frogger_;dlv2;18;0,04;992
Frogger_;dlv2;19;0,03;992
Frogger_;dlv2;20;0,04;992
Frogger_;dlv2;21;0,04;996
Frogger_;dlv2;22;0,04;992
Frogger_;dlv2;23;0,04;992
Frogger_;dlv2;24;0,03;996
Frogger_;dlv2;25;0,04;992
Frogger_;dlv2;26;0,04;992
Frogger_;dlv2;27;0,04;992
Frogger_;dlv2;28;0,04;992
Frogger_;dlv2;29;0,04;996
Frogger_;dlv2;30;0,04;992
Frogger_;dlv2;31;0,04;996
Frogger_;dlv2;32;0,04;996
Frogger_;dlv2;33;0,03;992
Frogger_;dlv2;34;0,04;992
Frogger_;dlv2;35;0,03;992
Frogger_;dlv2;36;0,04;992
Frogger_;dlv2;37;0,04;996
Frogger_;dlv2;38;0,04;992
Frogger_;dlv2;39;0,03;992
Frogger_;dlv2;40;0,04;992
Frogger_;dlv2;41;0,03;992
Frogger_;dlv2;42;0,04;992
Frogger_;dlv2;43;0,04;996
Frogger_;dlv2;44;0,03;996
Frogger_;dlv2;45;0,04;992
Frogger_;dlv2;46;0,03;992
Frogger_;dlv2;47;0,03;992
Frogger_;dlv2;48;0,03;992
Frogger_;dlv2;49;0,04;996
Frogger_;dlv2;50;0,03;992
Frogger_;dlv2;51;0,04;992
Frogger_;dlv2;52;0,04;992
Frogger_;dlv2;53;0,04;992
Frogger_;dlv2;54;0,03;992
Frogger_;dlv2;55;0,03;996
Frogger_;dlv2;56;0,03;996
Frogger_;dlv2;57;0,04;992
Frogger_;dlv2;58;0,03;996
Frogger_;dlv2;59;0,04;992
Frogger_;dlv2;60;0,03;992
Frogger_;dlv2;61;0,03;996
Frogger_;dlv2;62;0,04;996
Frogger_;dlv2;63;0,04;992
Frogger_;dlv2;64;0,04;996
Frogger_;dlv2;65;0,04;996
Frogger_;dlv2;66;0,03;992
Frogger_;dlv2;67;0,04;996
Frogger_;dlv2;68;0,04;992
Frogger_;dlv2;69;0,03;992
Frogger_;dlv2;70;0,04;996
Frogger_;dlv2;71;0,04;992
Frogger_;dlv2;72;0,04;996
Frogger_;dlv2;73;0,03;992
Frogger_;dlv2;74;0,04;992
Frogger_;dlv2;75;0,04;996
Frogger_;dlv2;76;0,04;996
Frogger_;dlv2;77;0,04;992
Frogger_;dlv2;78;0,03;992
Frogger_;dlv2;79;0,03;996
Frogger_;dlv2;80;0,03;996
Frogger_;dlv2;81;0,04;996
Frogger_;dlv2;82;0,03;996
Frogger_;dlv2;83;0,03;996
Frogger_;dlv2;84;0,03;996
Frogger_;dlv2;85;0,04;996
Pacman_Planner1;dlv2;0;0,41;996
Pacman_Planner1;dlv2;1;0,4;992
Pacman_Planner1;dlv2;2;0,4;992
Pacman_Planner1;dlv2;3;0,41;992
